scenario,variant,seed,what_happened,reconstructed,clock_source,clock_quality,collision_order,signs_detected,line_evidence,key_formal_violation,physical_contributors,normative_violation,responsibility_contributors,counterfactual_validation,main_limitation
S15,single_impact,2,collision: A-B,nodes 0.33 / edges 0.15,"A=reference, B=contact, C=unresolved",partially aligned (1 shared contact); C unresolved,single impact (A-B),1/1 found (recall 1.00),"solid line x1, lane marking x1",P1: a stop sign seen means a full stop before the line (+1 more),"A, B","A, B (P1, P6)","A, B",not tested,"C could not be tied to the others, so nothing it recorded reaches the merged timeline"
S16,avoided,0,collision: A-B,nodes 0.42 / edges 0.15,"A=reference, B=contact, C=unresolved",partially aligned (1 shared contact); C unresolved,single impact (A-B),no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"A, B",B (P4),B (A partial),not tested,"C could not be tied to the others, so nothing it recorded reaches the merged timeline"
S16,avoided,1,collision: A-B,nodes 0.46 / edges 0.16,"A=reference, B=contact, C=unresolved",partially aligned (1 shared contact); C unresolved,single impact (A-B),no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,B,B (P4),B,not tested,"C could not be tied to the others, so nothing it recorded reaches the merged timeline"
S16,avoided,2,collision: A-B,nodes 0.40 / edges 0.12,"A=reference, B=contact, C=unresolved",partially aligned (1 shared contact); C unresolved,single impact (A-B),no signs in this scenario,no crossing reported,P4: no acceleration into a critical conflict,"A, B",B (P4),B (A partial),not tested,"C could not be tied to the others, so nothing it recorded reaches the merged timeline"
S16,consequential,0,"collision: A-B, A-C",nodes 0.52 / edges 0.14,"A=reference, B=contact, C=contact",multi contact aligned (3 shared contacts),A-B then A-C (correct),no signs in this scenario,lane marking x1,P4: no acceleration into a critical conflict,"A, B",B (P4),B (A partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S16,consequential,1,"collision: A-B, A-C",nodes 0.51 / edges 0.14,"A=reference, B=contact, C=contact",multi contact aligned (2 shared contacts),A-B then A-C (correct),no signs in this scenario,lane marking x1,P4: no acceleration into a critical conflict,"A, B",B (P4),B (A partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S16,consequential,2,"collision: A-B, A-C",nodes 0.45 / edges 0.06,"A=reference, B=contact, C=contact",multi contact aligned (3 shared contacts),A-B then A-C (correct),no signs in this scenario,lane marking x1,P4: no acceleration into a critical conflict,"A, B",B (P4),B (A partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S16,independent,0,"collision: A-B, A-C",nodes 0.39 / edges 0.07,"A=reference, B=contact, C=contact",multi contact aligned (2 shared contacts),A-B then A-C (correct),no signs in this scenario,lane marking x1,P4: no acceleration into a critical conflict,"B, C",B (P4),B (C partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S16,independent,1,"collision: A-B, A-C",nodes 0.41 / edges 0.10,"A=reference, B=contact, C=contact",multi contact aligned (2 shared contacts),A-B then A-C (correct),no signs in this scenario,lane marking x1,P4: no acceleration into a critical conflict,"A, B",B (P4),B (A partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S16,independent,2,"collision: A-B, A-C",nodes 0.42 / edges 0.12,"A=reference, B=contact, C=contact",multi contact aligned (2 shared contacts),A-B then A-C (correct),no signs in this scenario,lane marking x1,P4: no acceleration into a critical conflict,"A, B",B (P4),B (A partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
